row_id,code_id,q_id,split,sample_index,sample_seed,erased_indices,erased_count,peeling_residual,residual_size,stopping_failure,erased_rank,ambiguity_dim,rank_failure
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,0,3578218673,"[14, 15, 23]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,1,3579218676,"[11, 13, 15, 21]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,2,3580218679,"[4, 8, 10]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,3,3581218682,"[2, 4, 16, 18, 19]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,4,3582218685,[19],1,[],0,0,1,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,5,3583218688,"[4, 6, 19]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,6,3584218691,"[0, 14, 16, 17]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,7,3585218694,"[4, 8, 10, 14, 16, 20, 23]",7,[],0,0,7,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,8,3586218697,[18],1,[],0,0,1,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,9,3587218700,"[2, 8, 12, 19]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,10,3588218703,"[9, 22]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,11,3589218706,"[0, 2, 7, 9, 12, 19, 22]",7,[],0,0,7,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,12,3590218709,"[3, 4, 20]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,13,3591218712,"[1, 5, 8, 9, 13, 15]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,14,3592218715,"[2, 3, 7, 9, 14, 17, 22]",7,[],0,0,7,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,15,3593218718,"[3, 8, 23]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,16,3594218721,"[1, 7, 8, 14, 20, 23]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,17,3595218724,"[0, 5]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,18,3596218727,"[1, 3, 7, 11, 13, 15, 17, 20, 22]",9,[],0,0,9,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,19,3597218730,"[1, 8, 15, 22]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,20,3598218733,"[5, 17, 18, 19, 23]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,21,3599218736,"[8, 11, 15, 22]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,22,3600218739,"[2, 9]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,23,3601218742,"[4, 5, 8, 14, 17, 21]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,24,3602218745,"[2, 7, 9, 10, 20]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,25,3603218748,"[4, 8, 13, 16, 21]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,26,3604218751,"[1, 10, 17, 19]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,27,3605218754,"[1, 2, 6, 8, 9, 12, 13, 14, 22]",9,"[6, 12]",2,1,8,1,1
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,28,3606218757,"[3, 8, 14]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,29,3607218760,"[0, 2, 8, 9, 18, 20]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,30,3608218763,"[6, 8, 9, 12, 19]",5,"[6, 12]",2,1,4,1,1
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,31,3609218766,"[0, 6, 8, 9, 10, 13, 23]",7,[],0,0,7,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,32,3610218769,"[0, 9, 12]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,33,3611218772,"[1, 2, 19]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,34,3612218775,"[0, 9, 11, 16, 21]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,35,3613218778,"[0, 2, 8, 9, 15, 18, 22]",7,[],0,0,7,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,36,3614218781,"[5, 6, 14, 17, 21]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,37,3615218784,"[0, 20, 22]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,38,3616218787,"[7, 10, 18]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,39,3617218790,"[0, 11, 13, 16, 17]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,40,3618218793,"[12, 14, 18, 20, 21]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,41,3619218796,"[1, 6, 11, 20, 21]",5,"[1, 6, 11, 21]",4,1,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,42,3620218799,"[9, 10, 11, 13, 14, 18, 20, 22]",8,[],0,0,8,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,43,3621218802,"[5, 19]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,44,3622218805,"[0, 15, 18, 22, 23]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,45,3623218808,"[1, 2, 6, 15, 20, 23]",6,"[1, 2, 6, 15, 20]",5,1,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,46,3624218811,"[1, 2, 10, 13]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,47,3625218814,"[7, 8, 9, 11, 14, 15, 17, 18, 19, 21]",10,"[7, 8, 14, 15, 19, 21]",6,1,10,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,48,3626218817,"[2, 17]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,49,3627218820,"[11, 17]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,50,3628218823,"[0, 2, 6, 9, 10]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,51,3629218826,"[0, 5, 13, 15, 18, 21]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,52,3630218829,"[3, 17, 19]",3,[],0,0,3,0,0
