row_id,code_id,q_id,split,sample_index,sample_seed,erased_indices,erased_count,peeling_residual,residual_size,stopping_failure,erased_rank,ambiguity_dim,rank_failure
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,0,334806297,"[10, 19, 20]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,1,335806300,"[14, 17]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,2,336806303,[11],1,[],0,0,1,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,3,337806306,"[2, 5, 6, 16]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,4,338806309,"[0, 1, 22]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,5,339806312,"[1, 20]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,6,340806315,"[13, 21, 22, 23]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,7,341806318,"[8, 13, 14, 22]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,8,342806321,"[0, 1, 4, 7, 17, 18]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,9,343806324,"[0, 5, 6, 17, 22]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,10,344806327,"[1, 3, 12, 14, 22]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,11,345806330,"[1, 7, 8, 17]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,12,346806333,"[0, 4, 11, 21, 23]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,13,347806336,"[13, 16]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,14,348806339,"[1, 2, 5, 8, 12, 16, 17, 21, 23]",9,"[1, 5, 8, 12, 23]",5,1,9,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,15,349806342,"[18, 20]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,16,350806345,[7],1,[],0,0,1,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,17,351806348,"[5, 9, 10, 22]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,18,352806351,"[6, 7, 13, 22]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,19,353806354,"[13, 20]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,20,354806357,"[7, 12, 13, 22]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,21,355806360,"[1, 5, 8, 10, 11, 20]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,22,356806363,"[1, 3, 14, 23]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,23,357806366,"[1, 2, 3, 9, 10, 11, 12, 19]",8,[],0,0,8,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,24,358806369,"[1, 15]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,25,359806372,"[3, 6, 8, 18]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,26,360806375,"[0, 3, 5, 8, 9, 17, 18, 20]",8,[],0,0,8,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,27,361806378,"[21, 23]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,28,362806381,"[9, 18, 19, 22]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,29,363806384,[10],1,[],0,0,1,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,30,364806387,"[0, 2, 3, 4, 7, 8, 9, 15]",8,"[0, 4, 7, 9, 15]",5,1,8,0,0
