domain_id	domain_name	classification	status	primary_coordinate	observable	baseline_test	support_level	claim_strength	non_claims	main_file	evidence_file	last_updated
finite_csp	Finite CSP / Mixed-SAT / NAE-SAT / q-coloring	specification_fixed	active	L, Bernoulli drift, first-moment coordinate	natural finite measure and exposure law	raw count / density / encoding-size vs drift-weighted coordinate	externally_supported_anchor	limited-class specification-fixed support, not a universal law	does not establish all-domain universality	03_domains/01_specification_fixed/finite_csp.md	05_evidence/outside_reruns.tsv	2026-04-29
computational_cost	SAT computational cost	specification_fixed	active	L as structural-consumption coordinate	solver runtime / cost surface	cost scaling against structural-consumption coordinate	internal_empirical_anchor	computational anchor for structural cost prediction	does not prove solver-independent universal cost law	03_domains/01_specification_fixed/computational_cost.md	05_evidence/frozen_packages.tsv	2026-04-29
flow_network_m_testbed	Structural maintenance flow-network testbed	specification_fixed	no_support	optional M-component allocation under fixed total energy	max-flow margin / collapse time / maintained-flow ratio	total-resource baseline vs optional component readout / calibration-best-allocation baseline	no_support	controlled mechanistic no-support for optional M-component diagnostic support under frozen rule; weak component signal over total-resource baseline	not evidence against scalar M as the familiar resource side; not evidence for real software/SaaS or universal M law	03_domains/01_specification_fixed/flow_network_m_testbed.md	05_evidence/no_support.tsv	2026-04-29
graph_spanning_tree_persistence	Graph spanning-tree persistence	specification_fixed	supported_successor_v1	L_tau as spanning-tree mass loss; log_tau as matched-residual redundancy coordinate	spanning-tree count tau(G), connectivity boundary, future deletion outcomes	natural graph baseline vs natural graph baseline + frozen spanning-tree persistence coordinate; path_b05 matched residual test	matched_residual_support_v1; no_support_primary_v0	specification-fixed accounting anchor remains; primary_v0 did not pass frozen incremental prediction support rule; matched-residual v1 supports current log_tau residual collapse-risk ordering value in finite synthetic graphs	not a new graph invariant; not same-time connectivity prediction from an oracle graph state; not M-side validation; not A12 cut-spectrum support; not empirical support under primary_v0	03_domains/01_specification_fixed/graph_spanning_tree_persistence.md	05_evidence/no_support.tsv;05_evidence/frozen_packages.tsv;05_evidence/a31_graph_spanning_tree_persistence/primary_result_summary.md;05_evidence/a31_graph_spanning_tree_persistence/primary_matched_residual_v1_result_summary.md	2026-05-01
st_cut_spectrum_reliability	S-t cut-spectrum reliability	specification_fixed	supported_kappa2_kappa3	low-order s-t cut-spectrum pressure H_cut	s-t disconnection under independent edge failures / reliability labels	natural graph baseline vs natural graph baseline + frozen low-order cut-spectrum coordinate	kappa2_support_v0b; kappa3_support_v0c; invalid_run_v0	finite kappa=2 and kappa=3 synthetic support for scalar low-order cut-spectrum pressure; primary_v0 generation surface was infeasible before prediction evaluation; separates A12 cutset prediction from A31 spanning-tree accounting	not exact reliability superiority; not arbitrary-kappa support; not real-world network evidence; not A31 support; not M-side validation; invalid v0 is not no-support	03_domains/01_specification_fixed/st_cut_spectrum_reliability.md	05_evidence/a12_st_cut_spectrum_reliability/replication_summary.md;05_evidence/a12_st_cut_spectrum_reliability/primary_v0_invalid_run_summary.md;05_evidence/a12_st_cut_spectrum_reliability/primary_v0b_kappa2_result_summary.md;05_evidence/a12_st_cut_spectrum_reliability/primary_v0c_kappa3_result_summary.md;05_evidence/frozen_packages.tsv	2026-05-01
coding_channel_recovery	Coding-channel recovery / finite BEC linear-code reliability	specification_fixed	supported_v0; invalid_run_v1_rate625_cw4; no_support_v1b_rate625_cw3	low-order parity-check column-dependency pressure H_dep	BEC finite-block unique-recovery failure under fixed linear codes	natural coding baseline vs natural coding baseline + frozen low-order dependency coordinate	finite_bec_support_v0; rate625_cw4_invalid_run; rate625_cw3_no_support	finite synthetic BEC support for scalar low-order parity-check dependency pressure on primary_v0; exact rank accounting remains the specification-fixed anchor; successor v1b on rate-0.625 column-weight-3 was directionally positive but below the frozen 1 percent support gate	not Shannon-capacity theorem support; not arbitrary-code support; not non-BEC support; not final-rank oracle support; not exact failure-probability superiority; not M-side validation; v1b no-support limits immediate extrapolation beyond the v0 surface	03_domains/01_specification_fixed/coding_channel_recovery.md	05_evidence/a06_a19_coding_channel_recovery/primary_v0_result_summary.md;05_evidence/a06_a19_coding_channel_recovery/primary_v1_rate625_cw4_invalid_run_summary.md;05_evidence/a06_a19_coding_channel_recovery/primary_v1b_rate625_cw3_result_summary.md;05_evidence/frozen_packages.tsv;05_evidence/no_support.tsv	2026-05-01
coding_channel_stopping_set_recovery	Coding-channel stopping-set recovery / finite BEC iterative decoding	specification_fixed	no_support_v2_orderwise_terms	low-order stopping-set pressure H_stop	BEC finite-block peeling-decoder failure under fixed parity-check matrices	natural coding baseline vs natural coding baseline + frozen low-order stopping-set coordinate	no_support_v2_orderwise_terms	decoder-specific specification-fixed package separating peeling recovery from rank-based unique recovery; frozen v2 order-wise normalized terms were directionally positive but below the 1 percent support gate	not A06/A19 rank-accounting support; not maximum-likelihood unique-recovery support; not arbitrary decoder support; not non-BEC support; not M-side validation	03_domains/01_specification_fixed/coding_channel_stopping_set_recovery.md	05_evidence/a06_stop_coding_channel_stopping_set_recovery/primary_v2_orderwise_terms_result_summary.md;05_evidence/no_support.tsv	2026-05-01
llm_reasoning	LLM reasoning degradation	inference	active	contradiction, scope, metabolism, path-set indicator	observed answer correctness and error modes; finite Lean reasoning toy	length / quality-blind baseline vs SP indicator	observational_anchor	inference-layer support candidate for reasoning degradation; finite toy bridge, comparison layer, metric contract, and benchmark protocol are formal, not empirical support	not theorem-side evidence; not mechanism identification	03_domains/02_structurally_inferred/llm_reasoning_degradation.md	05_evidence/frozen_packages.tsv;../lean/Survival/LLMEpistemicControlToy.lean;../lean/Survival/LLMMemoryReasoningStrengtheningToy.lean;../lean/Survival/EpistemicControlComparison.lean;../lean/Survival/EpistemicControlEvaluationContract.lean;../lean/Survival/EpistemicBenchmarkProtocol.lean	2026-05-27
continual_learning	Continual learning structural forgetting	inference	active	dependency-aware repair / replay indicators	dependency consistency and retention; finite Lean premise-update toy	readout baseline vs dependency-aware SP indicator	observational_anchor	inference-layer anchor for forgetting and repair; finite toy bridge, dependency-budget layer, comparison layer, metric contract, and benchmark protocol are formal, not empirical support	not proof of general continual-learning law	03_domains/02_structurally_inferred/continual_learning_forgetting.md	05_evidence/frozen_packages.tsv;../lean/Survival/LLMEpistemicControlToy.lean;../lean/Survival/DependencyClosureBudgetToy.lean;../lean/Survival/EpistemicControlComparison.lean;../lean/Survival/EpistemicControlEvaluationContract.lean;../lean/Survival/EpistemicBenchmarkProtocol.lean	2026-05-27
llm_epistemic_control_bridge	LLM epistemic control bridge	inference	formal_bridge	abstract contradiction / repair epistemic-control interface	Lean theorem statements, finite coherent-region assumptions, baseline comparison, evaluation metric contract, benchmark protocol contract, evidence-packet schema, toy LLM instantiation, toy memory use-condition instantiation, dependency-closure budget instantiation, memory / reasoning strengthening instantiation, toy repository-contract instantiation, toy evidence-packet instantiation, and stack entry point	theorem-side bridge only; no empirical baseline	formal_bridge	conditional Lean bridge from LLM-style epistemic control layers to the existing finite net-action kernel; includes same-initial-mass / no-worse-net-action baseline comparison, evaluation-facing loss / repair metric witness contract, benchmark protocol validity contract, evidence-packet guardrails, toy LLM reasoning / memory / continual-update instantiation, explicit toy memory use-condition guards, finite dependency-budget bounds, lifecycle memory guards, provenance trust ordering, minimal witness guards, composed repair wrappers, toy software-contract instantiation, toy software evidence-packet instantiation, and a stack-level theorem entry point	not proof of LLM semantics, performance, belief revision, continual-learning safety, memory safety, product-level agent reliability, or detector correctness	03_domains/02_structurally_inferred/llm_epistemic_control_bridge.md	../lean/Survival/EpistemicControlBridge.lean;../lean/Survival/EpistemicControlComparison.lean;../lean/Survival/EpistemicControlEvaluationContract.lean;../lean/Survival/EpistemicBenchmarkProtocol.lean;../lean/Survival/EvidencePacketBridge.lean;../lean/Survival/LLMEpistemicControlToy.lean;../lean/Survival/LLMMemoryUseConditionToy.lean;../lean/Survival/DependencyClosureBudgetToy.lean;../lean/Survival/LLMMemoryReasoningStrengtheningToy.lean;../lean/Survival/EpistemicControlStack.lean;../lean/Survival/SoftwareContractToyRepository.lean;../lean/Survival/SoftwareEvidencePacketToy.lean	2026-05-27
