package_id	domain_id	status	frozen_surface	primary_metric	support_rule	result	pointer	last_updated
mixed_csp_primary	finite_csp	supported	frozen Mixed-SAT/NAE-SAT package	log loss	drift-weighted coordinate beats raw-count baseline	support	v2/補論_有限CSPにおける構造持続の予測力.md	2026-04-29
exp43c_qcoloring	finite_csp	supported	frozen q-coloring threshold-local package	log loss / qualitative support decision	first-moment coordinate beats raw / density / encoding-size baselines	support	v2/補論_有限CSPにおける構造持続の予測力.md	2026-04-29
llm_reasoning_companion	llm_reasoning	observational_anchor	LLM reasoning companion experiments	task correctness / error modes	structural condition predicts failures beyond simple context-length reading	observational_anchor	v3/03_domains/02_structurally_inferred/llm_reasoning_degradation.md	2026-04-29
continual_learning_companion	continual_learning	observational_anchor	continual-learning companion experiments	dependency consistency / retention	dependency-aware repair indicators improve selected readouts	observational_anchor	v3/03_domains/02_structurally_inferred/continual_learning_forgetting.md	2026-04-29
backblaze_q3_2025_v2_loss_only	non_csp_classical	observational_support	Backblaze Q3 2025 fresh untouched loss-only archive	log loss	calibration-aware loss-only coordinate passes frozen same-domain observational support rule	same-domain observational loss-only support	v2/補論_構造持続の収支原理の詳細展開.md	2026-05-01
m_flow_network_final_candidate_v0	flow_network_m_testbed	no_support	guarded primary final_candidate_v0	collapse-time / maintained-flow / regret diagnostics	optional M-component readout must beat total-resource and calibration-best-allocation baselines	no_support	analysis/m_flow_network_testbed/primary_runs/final_candidate_v0/primary_result_summary.md	2026-04-29
a31_graph_spanning_tree_persistence_v0	graph_spanning_tree_persistence	no_support	frozen synthetic graph spanning-tree persistence primary_v0	graph-id grouped binomial log loss	natural graph baseline plus frozen spanning-tree persistence bundle must improve test log loss by at least 1 percent with bootstrap support	no_support	05_evidence/a31_graph_spanning_tree_persistence/primary_result_summary.md	2026-05-01
a31_graph_spanning_tree_persistence_matched_residual_v1	graph_spanning_tree_persistence	supported	frozen synthetic graph spanning-tree matched-residual primary_v1	matched low-vs-high collapse fraction group effect	path_b05 matched groups: lower log_tau tail must collapse more often than higher log_tau tail with validation direction, test effect at least 0.03, at least 30 test groups, and bootstrap positive rate at least 0.90	support	05_evidence/a31_graph_spanning_tree_persistence/primary_matched_residual_v1_result_summary.md	2026-05-01
a12_st_cut_spectrum_reliability_v0	st_cut_spectrum_reliability	invalid_run	frozen synthetic s-t cut-spectrum reliability primary_v0	graph-id grouped binomial log loss	B1+log1p_H_cut_2 must improve B1 by at least 1 percent with bootstrap support	invalid_run_generation_infeasible	05_evidence/a12_st_cut_spectrum_reliability/primary_v0_invalid_run_summary.md	2026-05-01
a12_st_cut_spectrum_reliability_v0b_kappa2	st_cut_spectrum_reliability	supported	frozen synthetic s-t cut-spectrum reliability primary_v0b_kappa2	graph-id grouped binomial log loss	B1+log1p_H_cut_2 must improve B1 by at least 1 percent with bootstrap support on the kappa=2-only frozen surface	support	05_evidence/a12_st_cut_spectrum_reliability/primary_v0b_kappa2_result_summary.md	2026-05-01
a12_st_cut_spectrum_reliability_v0c_kappa3	st_cut_spectrum_reliability	supported	frozen synthetic s-t cut-spectrum reliability primary_v0c_kappa3	graph-id grouped binomial log loss	B1+log1p_H_cut_2 must improve B1 by at least 1 percent with bootstrap support on the kappa=3-only frozen surface	support	05_evidence/a12_st_cut_spectrum_reliability/primary_v0c_kappa3_result_summary.md	2026-05-01
a06_a19_coding_channel_recovery_v0	coding_channel_recovery	supported	frozen synthetic finite BEC sparse parity-check primary_v0	code-id grouped binomial log loss	B1+log1p_H_dep_4 must improve B1 by at least 1 percent with bootstrap support on the frozen BEC code surface	support	05_evidence/a06_a19_coding_channel_recovery/primary_v0_result_summary.md	2026-05-01
a06_a19_coding_channel_recovery_v1_rate625_cw4	coding_channel_recovery	invalid_run	frozen synthetic finite BEC sparse parity-check primary_v1_rate625_cw4	code-id grouped binomial log loss	B1+log1p_H_dep_4 must improve B1 by at least 1 percent with bootstrap support on the frozen rate-0.625 column-weight-4 surface	invalid_run_generation_infeasible	05_evidence/a06_a19_coding_channel_recovery/primary_v1_rate625_cw4_invalid_run_summary.md	2026-05-01
a06_a19_coding_channel_recovery_v1b_rate625_cw3	coding_channel_recovery	no_support	frozen synthetic finite BEC sparse parity-check primary_v1b_rate625_cw3	code-id grouped binomial log loss	B1+log1p_H_dep_4 must improve B1 by at least 1 percent with bootstrap support on the frozen rate-0.625 column-weight-3 surface	no_support	05_evidence/a06_a19_coding_channel_recovery/primary_v1b_rate625_cw3_result_summary.md	2026-05-01
a06_stop_coding_channel_stopping_set_recovery_v2_orderwise_terms	coding_channel_stopping_set_recovery	no_support	frozen synthetic finite BEC sparse parity-check peeling-decoder primary_v2_orderwise_terms	code-id grouped binomial log loss	B1_degree+orderwise normalized stopping-set terms must improve B1_degree by at least 1 percent with bootstrap support on the frozen peeling-decoder surface	no_support	05_evidence/a06_stop_coding_channel_stopping_set_recovery/primary_v2_orderwise_terms_result_summary.md	2026-05-01
